ID,Base Product,Category,Popular Brands,Search Variations,Misspellings/Regional,Popularity Index (1-100)
678,Urad Dal (White Gota),Lentils & Pulses,"TRS, Heera, Annam, Natco","Black gram whole, White urad","Urrad, Urid, Ulutham",83
679,Masoor Dal (Red),Lentils & Pulses,"TRS, Heera, Annam, East End",Red lentils split,"Masur dal, Mussoor",75
680,Kala Chana,Lentils & Pulses,"TRS, Heera, Annam",Black chickpeas whole,"Kala channa, Kadala",86
681,Kabuli Chana,Lentils & Pulses,"TRS, Heera, Annam","Chickpeas, Garbanzo beans","Chole, Channa",92
682,Rajma (Chitra),Lentils & Pulses,"TRS, Heera, Annam",Speckled kidney beans,Rajmah,92
683,Moong Whole,Lentils & Pulses,"TRS, Heera, Annam",Green gram whole,Moong sabut,71
684,Turmeric Powder,Spices & Masalas,"MDH, Everest, TRS, Heera, Catch, Shakti","Haldi, Curcumin","Tumeric, Haldee",90
685,Red Chili Powder,Spices & Masalas,"MDH, Everest, TRS, Shan, Catch","Mirch, Spicy powder, Lal mirch","Chilly, Chilli",81
686,Kashmiri Mirch Powder,Spices & Masalas,"Everest, MDH, TRS, Catch","Mild chili, Red color powder",Kashmiri chilli,79
687,Garam Masala,Spices & Masalas,"MDH, Everest, TRS, Shan, MTR, Badshah","Curry spice mix, Warm spice","Garam masla, Gharam",87
688,Coriander Powder,Spices & Masalas,"MDH, Everest, TRS, Heera, Catch",Dhaniya powder,"Coriender, Dhanya",83
689,Cumin Seeds,Spices & Masalas,"TRS, Heera, Annam, MDH",Jeera whole,"Zeera, Jera",85
690,Mustard Seeds (Black),Spices & Masalas,"TRS, Heera, Annam","Rai, Sarson","Musterd, Rai",74
691,Sambar Masala,Spices & Masalas,"MTR, Aachi, Everest, Eastern, 777",Sambar powder,"Sambhar, Sambar podi",91
692,Biryani Masala,Spices & Masalas,"Shan, MDH, Lucky, Everest, Ahmed",Biryani rice spice,"Biriyani, Briyani",70
693,Kitchen King Masala,Spices & Masalas,"MDH, Everest, Badshah",All purpose spice mix,Kitchen king,83
694,Chana Masala,Spices & Masalas,"MDH, Everest, Shan, Catch",Chole masala,Channa masala,73
695,Pav Bhaji Masala,Spices & Masalas,"Everest, MDH, Badshah",Bhaji spice,Paav bhaji,75
696,Chicken Masala,Spices & Masalas,"MDH, Everest, Shan, Eastern",Poultry spice,Chiken masala,71
697,Meat Masala,Spices & Masalas,"MDH, Everest, Shan, Eastern",Mutton/Meat spice,Meet masala,71
698,Aloo Bhujia,Snacks & Sweets,"Haldiram's, Bikano, Heera, Bikaji","Potato sev, Namkeen","Alu bhujia, Haldirams",60
699,Moong Dal Snack,Snacks & Sweets,"Haldiram's, Bikano, Bikaji",Fried moong lentils,Mung snack,66
700,Khatta Meetha,Snacks & Sweets,"Haldiram's, Bikano, Heera",Sweet and sour mix,Katta metha,85
701,Bhujia Sev,Snacks & Sweets,"Haldiram's, Bikaji, Bikano",Fine spicy sev,Bhujiya,51
702,Parle-G,Snacks & Sweets,Parle,Milk glucose biscuits,"Parleg, Parlay",48
703,Good Day Cashew,Snacks & Sweets,Britannia,Cashew butter cookies,Gud day,73
704,Hide & Seek,Snacks & Sweets,Parle,Chocolate chip cookies,Hide n seek,56
705,Marie Gold,Snacks & Sweets,Britannia,Tea biscuits,Mari gold,68
706,Bourbon Biscuits,Snacks & Sweets,"Britannia, Parle",Choco cream biscuits,Burbon,70
707,Gulab Jamun Mix,Snacks & Sweets,"Gits, MTR, Bambino",Milk solid sweet mix,Gulab jamon,85
708,Soan Papdi,Snacks & Sweets,"Haldiram's, Bikano",Flaky sweet dessert,Son papdi,80
709,Pure Desi Ghee,"Oils, Ghee & Condiments","Amul, Khanum, KTC, Nanak, Kheer","Clarified butter, Pure ghee","Ghi, Ghe",46
710,Mustard Oil,"Oils, Ghee & Condiments","Fortune, KTC, P&B, Engine",Sarson ka tel,Musterd oil,74
711,Coconut Oil (Edible),"Oils, Ghee & Condiments","Parachute, KTC, Heera, KPL Shudhi",Nariyal tel,Cocanut oil,71
712,Mango Pickle,"Oils, Ghee & Condiments","Mother's Recipe, Priya, Ashoka, Patak's",Aam ka achar,"Mango pikkle, Achar",71
713,Mixed Pickle,"Oils, Ghee & Condiments","Mother's Recipe, Priya, Ashoka",Mixed veg pickle,Mix achar,79
714,Ginger Garlic Paste,"Oils, Ghee & Condiments","Mother's Recipe, Priya, TRS, Heera",Adrak lasun paste,GG paste,75
715,Tamarind Paste,"Oils, Ghee & Condiments","TRS, Tamicon, Heera",Imli paste,Tamrind,60
716,Paneer,Ready to Eat & Frozen,"Amul, Nanak, Ayurveda, Vadilal, Ashoka",Cottage cheese,"Panir, Panneer",76
717,Mixed Veg Frozen,Ready to Eat & Frozen,"Vadilal, Ashoka, Daily Delight",Frozen vegetables,Mixed veg,43
718,Aloo Paratha (Frozen),Ready to Eat & Frozen,"Vadilal, Haldiram's, Ashoka, Shana",Stuffed bread,Parata,84
719,Dal Makhani (RTE),Ready to Eat & Frozen,"MTR, Ashoka, Kitchens of India",Heat and eat lentils,Daal makhni,77
720,Idli Batter,Ready to Eat & Frozen,"ID Fresh, Shastha, Annam",Fermented batter,Idly batter,65
721,Chakki Atta,Staples (Flours & Grains),"Aashirvaad, Pillsbury, Fortune, Elephant, Heera, Annapurna","Wheat flour, Roti flour, Whole wheat","Ashirwad, Aata, Atte",85
722,Maida,Staples (Flours & Grains),"TRS, Heera, Annam, KTC","All purpose flour, Plain flour","Mayda, Maida flour",93
723,Besan,Staples (Flours & Grains),"TRS, Heera, Annam, Laxmi, KTC","Gram flour, Chickpea flour","Baisan, Basin, Besun",87
724,Sooji (Coarse),Staples (Flours & Grains),"TRS, Heera, Annam, Natco","Semolina, Rava, Rawa","Suji, Sheera",87
725,Sooji (Fine),Staples (Flours & Grains),"TRS, Heera, Annam","Fine semolina, Rava fine","Suji fine, Rawa fine",90
726,Rice Flour,Staples (Flours & Grains),"Annam, TRS, Heera","Chawal ka atta, Rice powder",Arisi maavu,96
727,Bajra Flour,Staples (Flours & Grains),"TRS, Heera, Annam",Pearl millet flour,Bajari,93
728,Jowar Flour,Staples (Flours & Grains),"TRS, Heera, Annam",Sorghum flour,Jovar,92
729,Basmati Rice (Extra Long),Rice,"Tilda, India Gate, Daawat, Kohinoor, Akash, Laila","Long grain rice, Biryani rice, Aged rice","Basmathi, Bismati, Chawal",97
730,Sona Masoori Rice,Rice,"India Gate, 9Grains, Annam, Royal, TRS, Heera","South Indian rice, Short grain, Ponni","Sona Masuri, Masuri rice",86
731,Idli Rice,Rice,"Annam, TRS, Heera, Ponni","Short grain, Steamed rice","Idly rice, Arisi",99
732,Matta Rice,Rice,"Nirapara, Heera, Annam, Double Horse","Red rice, Kerala rice, Palakkadan",Mata rice,95
733,Poha (Thick),Rice,"TRS, Heera, Annam, Natco","Flattened rice, Beaten rice","Powwa, Aval, Atukulu",93
734,Poha (Thin),Rice,"TRS, Heera, Annam",Thin flattened rice,Pauwa thin,89
735,Toor Dal,Lentils & Pulses,"TRS, Heera, Annam, Chitalya, East End","Arhar dal, Split pigeon peas, Yellow lentils","Tur dal, Thoor, Thuvaram",73
736,Moong Dal (Yellow),Lentils & Pulses,"TRS, Heera, Annam, Chitalya","Split mung beans, Yellow mung","Mong dal, Mung",89
737,Chana Dal,Lentils & Pulses,"TRS, Heera, Annam, East End","Bengal gram, Split chickpeas","Channa dal, Kadalai paruppu",84
738,Urad Dal (White Gota),Lentils & Pulses,"TRS, Heera, Annam, Natco","Black gram whole, White urad","Urrad, Urid, Ulutham",77
739,Masoor Dal (Red),Lentils & Pulses,"TRS, Heera, Annam, East End",Red lentils split,"Masur dal, Mussoor",84
740,Kala Chana,Lentils & Pulses,"TRS, Heera, Annam",Black chickpeas whole,"Kala channa, Kadala",75
741,Kabuli Chana,Lentils & Pulses,"TRS, Heera, Annam","Chickpeas, Garbanzo beans","Chole, Channa",84
742,Rajma (Chitra),Lentils & Pulses,"TRS, Heera, Annam",Speckled kidney beans,Rajmah,94
743,Moong Whole,Lentils & Pulses,"TRS, Heera, Annam",Green gram whole,Moong sabut,90
744,Turmeric Powder,Spices & Masalas,"MDH, Everest, TRS, Heera, Catch, Shakti","Haldi, Curcumin","Tumeric, Haldee",95
745,Red Chili Powder,Spices & Masalas,"MDH, Everest, TRS, Shan, Catch","Mirch, Spicy powder, Lal mirch","Chilly, Chilli",84
746,Kashmiri Mirch Powder,Spices & Masalas,"Everest, MDH, TRS, Catch","Mild chili, Red color powder",Kashmiri chilli,92
747,Garam Masala,Spices & Masalas,"MDH, Everest, TRS, Shan, MTR, Badshah","Curry spice mix, Warm spice","Garam masla, Gharam",92
748,Coriander Powder,Spices & Masalas,"MDH, Everest, TRS, Heera, Catch",Dhaniya powder,"Coriender, Dhanya",77
749,Cumin Seeds,Spices & Masalas,"TRS, Heera, Annam, MDH",Jeera whole,"Zeera, Jera",70
750,Mustard Seeds (Black),Spices & Masalas,"TRS, Heera, Annam","Rai, Sarson","Musterd, Rai",74
751,Sambar Masala,Spices & Masalas,"MTR, Aachi, Everest, Eastern, 777",Sambar powder,"Sambhar, Sambar podi",93
752,Biryani Masala,Spices & Masalas,"Shan, MDH, Lucky, Everest, Ahmed",Biryani rice spice,"Biriyani, Briyani",94
753,Kitchen King Masala,Spices & Masalas,"MDH, Everest, Badshah",All purpose spice mix,Kitchen king,86
754,Chana Masala,Spices & Masalas,"MDH, Everest, Shan, Catch",Chole masala,Channa masala,94
755,Pav Bhaji Masala,Spices & Masalas,"Everest, MDH, Badshah",Bhaji spice,Paav bhaji,85
756,Chicken Masala,Spices & Masalas,"MDH, Everest, Shan, Eastern",Poultry spice,Chiken masala,76
757,Meat Masala,Spices & Masalas,"MDH, Everest, Shan, Eastern",Mutton/Meat spice,Meet masala,82
758,Aloo Bhujia,Snacks & Sweets,"Haldiram's, Bikano, Heera, Bikaji","Potato sev, Namkeen","Alu bhujia, Haldirams",76
759,Moong Dal Snack,Snacks & Sweets,"Haldiram's, Bikano, Bikaji",Fried moong lentils,Mung snack,85
760,Khatta Meetha,Snacks & Sweets,"Haldiram's, Bikano, Heera",Sweet and sour mix,Katta metha,78
761,Bhujia Sev,Snacks & Sweets,"Haldiram's, Bikaji, Bikano",Fine spicy sev,Bhujiya,60
762,Parle-G,Snacks & Sweets,Parle,Milk glucose biscuits,"Parleg, Parlay",62
763,Good Day Cashew,Snacks & Sweets,Britannia,Cashew butter cookies,Gud day,66
764,Hide & Seek,Snacks & Sweets,Parle,Chocolate chip cookies,Hide n seek,85
765,Marie Gold,Snacks & Sweets,Britannia,Tea biscuits,Mari gold,78
766,Bourbon Biscuits,Snacks & Sweets,"Britannia, Parle",Choco cream biscuits,Burbon,70
767,Gulab Jamun Mix,Snacks & Sweets,"Gits, MTR, Bambino",Milk solid sweet mix,Gulab jamon,55
768,Soan Papdi,Snacks & Sweets,"Haldiram's, Bikano",Flaky sweet dessert,Son papdi,52
769,Pure Desi Ghee,"Oils, Ghee & Condiments","Amul, Khanum, KTC, Nanak, Kheer","Clarified butter, Pure ghee","Ghi, Ghe",59
770,Mustard Oil,"Oils, Ghee & Condiments","Fortune, KTC, P&B, Engine",Sarson ka tel,Musterd oil,45
771,Coconut Oil (Edible),"Oils, Ghee & Condiments","Parachute, KTC, Heera, KPL Shudhi",Nariyal tel,Cocanut oil,67
772,Mango Pickle,"Oils, Ghee & Condiments","Mother's Recipe, Priya, Ashoka, Patak's",Aam ka achar,"Mango pikkle, Achar",54
773,Mixed Pickle,"Oils, Ghee & Condiments","Mother's Recipe, Priya, Ashoka",Mixed veg pickle,Mix achar,57
774,Ginger Garlic Paste,"Oils, Ghee & Condiments","Mother's Recipe, Priya, TRS, Heera",Adrak lasun paste,GG paste,57
775,Tamarind Paste,"Oils, Ghee & Condiments","TRS, Tamicon, Heera",Imli paste,Tamrind,62
776,Paneer,Ready to Eat & Frozen,"Amul, Nanak, Ayurveda, Vadilal, Ashoka",Cottage cheese,"Panir, Panneer",52
777,Mixed Veg Frozen,Ready to Eat & Frozen,"Vadilal, Ashoka, Daily Delight",Frozen vegetables,Mixed veg,78
778,Aloo Paratha (Frozen),Ready to Eat & Frozen,"Vadilal, Haldiram's, Ashoka, Shana",Stuffed bread,Parata,78
779,Dal Makhani (RTE),Ready to Eat & Frozen,"MTR, Ashoka, Kitchens of India",Heat and eat lentils,Daal makhni,84
780,Idli Batter,Ready to Eat & Frozen,"ID Fresh, Shastha, Annam",Fermented batter,Idly batter,42
781,Chakki Atta,Staples (Flours & Grains),"Aashirvaad, Pillsbury, Fortune, Elephant, Heera, Annapurna","Wheat flour, Roti flour, Whole wheat","Ashirwad, Aata, Atte",93
782,Maida,Staples (Flours & Grains),"TRS, Heera, Annam, KTC","All purpose flour, Plain flour","Mayda, Maida flour",93
783,Besan,Staples (Flours & Grains),"TRS, Heera, Annam, Laxmi, KTC","Gram flour, Chickpea flour","Baisan, Basin, Besun",86
784,Sooji (Coarse),Staples (Flours & Grains),"TRS, Heera, Annam, Natco","Semolina, Rava, Rawa","Suji, Sheera",86
785,Sooji (Fine),Staples (Flours & Grains),"TRS, Heera, Annam","Fine semolina, Rava fine","Suji fine, Rawa fine",97
786,Rice Flour,Staples (Flours & Grains),"Annam, TRS, Heera","Chawal ka atta, Rice powder",Arisi maavu,94
787,Bajra Flour,Staples (Flours & Grains),"TRS, Heera, Annam",Pearl millet flour,Bajari,100
788,Jowar Flour,Staples (Flours & Grains),"TRS, Heera, Annam",Sorghum flour,Jovar,87
789,Basmati Rice (Extra Long),Rice,"Tilda, India Gate, Daawat, Kohinoor, Akash, Laila","Long grain rice, Biryani rice, Aged rice","Basmathi, Bismati, Chawal",96
790,Sona Masoori Rice,Rice,"India Gate, 9Grains, Annam, Royal, TRS, Heera","South Indian rice, Short grain, Ponni","Sona Masuri, Masuri rice",91
791,Idli Rice,Rice,"Annam, TRS, Heera, Ponni","Short grain, Steamed rice","Idly rice, Arisi",89
792,Matta Rice,Rice,"Nirapara, Heera, Annam, Double Horse","Red rice, Kerala rice, Palakkadan",Mata rice,93
793,Poha (Thick),Rice,"TRS, Heera, Annam, Natco","Flattened rice, Beaten rice","Powwa, Aval, Atukulu",94
794,Poha (Thin),Rice,"TRS, Heera, Annam",Thin flattened rice,Pauwa thin,96
795,Toor Dal,Lentils & Pulses,"TRS, Heera, Annam, Chitalya, East End","Arhar dal, Split pigeon peas, Yellow lentils","Tur dal, Thoor, Thuvaram",89
796,Moong Dal (Yellow),Lentils & Pulses,"TRS, Heera, Annam, Chitalya","Split mung beans, Yellow mung","Mong dal, Mung",80
797,Chana Dal,Lentils & Pulses,"TRS, Heera, Annam, East End","Bengal gram, Split chickpeas","Channa dal, Kadalai paruppu",77
798,Urad Dal (White Gota),Lentils & Pulses,"TRS, Heera, Annam, Natco","Black gram whole, White urad","Urrad, Urid, Ulutham",90
799,Masoor Dal (Red),Lentils & Pulses,"TRS, Heera, Annam, East End",Red lentils split,"Masur dal, Mussoor",70
800,Kala Chana,Lentils & Pulses,"TRS, Heera, Annam",Black chickpeas whole,"Kala channa, Kadala",75
801,Kabuli Chana,Lentils & Pulses,"TRS, Heera, Annam","Chickpeas, Garbanzo beans","Chole, Channa",82
802,Rajma (Chitra),Lentils & Pulses,"TRS, Heera, Annam",Speckled kidney beans,Rajmah,86
803,Moong Whole,Lentils & Pulses,"TRS, Heera, Annam",Green gram whole,Moong sabut,83
804,Turmeric Powder,Spices & Masalas,"MDH, Everest, TRS, Heera, Catch, Shakti","Haldi, Curcumin","Tumeric, Haldee",88
805,Red Chili Powder,Spices & Masalas,"MDH, Everest, TRS, Shan, Catch","Mirch, Spicy powder, Lal mirch","Chilly, Chilli",95
806,Kashmiri Mirch Powder,Spices & Masalas,"Everest, MDH, TRS, Catch","Mild chili, Red color powder",Kashmiri chilli,83
807,Garam Masala,Spices & Masalas,"MDH, Everest, TRS, Shan, MTR, Badshah","Curry spice mix, Warm spice","Garam masla, Gharam",80
808,Coriander Powder,Spices & Masalas,"MDH, Everest, TRS, Heera, Catch",Dhaniya powder,"Coriender, Dhanya",85
809,Cumin Seeds,Spices & Masalas,"TRS, Heera, Annam, MDH",Jeera whole,"Zeera, Jera",86
810,Mustard Seeds (Black),Spices & Masalas,"TRS, Heera, Annam","Rai, Sarson","Musterd, Rai",86
811,Sambar Masala,Spices & Masalas,"MTR, Aachi, Everest, Eastern, 777",Sambar powder,"Sambhar, Sambar podi",86
812,Biryani Masala,Spices & Masalas,"Shan, MDH, Lucky, Everest, Ahmed",Biryani rice spice,"Biriyani, Briyani",88
813,Kitchen King Masala,Spices & Masalas,"MDH, Everest, Badshah",All purpose spice mix,Kitchen king,91
814,Chana Masala,Spices & Masalas,"MDH, Everest, Shan, Catch",Chole masala,Channa masala,91
815,Pav Bhaji Masala,Spices & Masalas,"Everest, MDH, Badshah",Bhaji spice,Paav bhaji,72
816,Chicken Masala,Spices & Masalas,"MDH, Everest, Shan, Eastern",Poultry spice,Chiken masala,74
817,Meat Masala,Spices & Masalas,"MDH, Everest, Shan, Eastern",Mutton/Meat spice,Meet masala,85
818,Aloo Bhujia,Snacks & Sweets,"Haldiram's, Bikano, Heera, Bikaji","Potato sev, Namkeen","Alu bhujia, Haldirams",56
819,Moong Dal Snack,Snacks & Sweets,"Haldiram's, Bikano, Bikaji",Fried moong lentils,Mung snack,67
820,Khatta Meetha,Snacks & Sweets,"Haldiram's, Bikano, Heera",Sweet and sour mix,Katta metha,56
821,Bhujia Sev,Snacks & Sweets,"Haldiram's, Bikaji, Bikano",Fine spicy sev,Bhujiya,48
822,Parle-G,Snacks & Sweets,Parle,Milk glucose biscuits,"Parleg, Parlay",63
823,Good Day Cashew,Snacks & Sweets,Britannia,Cashew butter cookies,Gud day,56
824,Hide & Seek,Snacks & Sweets,Parle,Chocolate chip cookies,Hide n seek,64
825,Marie Gold,Snacks & Sweets,Britannia,Tea biscuits,Mari gold,47
826,Bourbon Biscuits,Snacks & Sweets,"Britannia, Parle",Choco cream biscuits,Burbon,50
827,Gulab Jamun Mix,Snacks & Sweets,"Gits, MTR, Bambino",Milk solid sweet mix,Gulab jamon,45
828,Soan Papdi,Snacks & Sweets,"Haldiram's, Bikano",Flaky sweet dessert,Son papdi,67
829,Pure Desi Ghee,"Oils, Ghee & Condiments","Amul, Khanum, KTC, Nanak, Kheer","Clarified butter, Pure ghee","Ghi, Ghe",44
830,Mustard Oil,"Oils, Ghee & Condiments","Fortune, KTC, P&B, Engine",Sarson ka tel,Musterd oil,84
831,Coconut Oil (Edible),"Oils, Ghee & Condiments","Parachute, KTC, Heera, KPL Shudhi",Nariyal tel,Cocanut oil,79
832,Mango Pickle,"Oils, Ghee & Condiments","Mother's Recipe, Priya, Ashoka, Patak's",Aam ka achar,"Mango pikkle, Achar",72
833,Mixed Pickle,"Oils, Ghee & Condiments","Mother's Recipe, Priya, Ashoka",Mixed veg pickle,Mix achar,53
834,Ginger Garlic Paste,"Oils, Ghee & Condiments","Mother's Recipe, Priya, TRS, Heera",Adrak lasun paste,GG paste,51
835,Tamarind Paste,"Oils, Ghee & Condiments","TRS, Tamicon, Heera",Imli paste,Tamrind,78
836,Paneer,Ready to Eat & Frozen,"Amul, Nanak, Ayurveda, Vadilal, Ashoka",Cottage cheese,"Panir, Panneer",64
837,Mixed Veg Frozen,Ready to Eat & Frozen,"Vadilal, Ashoka, Daily Delight",Frozen vegetables,Mixed veg,72
838,Aloo Paratha (Frozen),Ready to Eat & Frozen,"Vadilal, Haldiram's, Ashoka, Shana",Stuffed bread,Parata,85
839,Dal Makhani (RTE),Ready to Eat & Frozen,"MTR, Ashoka, Kitchens of India",Heat and eat lentils,Daal makhni,69
840,Idli Batter,Ready to Eat & Frozen,"ID Fresh, Shastha, Annam",Fermented batter,Idly batter,45
841,Chakki Atta,Staples (Flours & Grains),"Aashirvaad, Pillsbury, Fortune, Elephant, Heera, Annapurna","Wheat flour, Roti flour, Whole wheat","Ashirwad, Aata, Atte",87
842,Maida,Staples (Flours & Grains),"TRS, Heera, Annam, KTC","All purpose flour, Plain flour","Mayda, Maida flour",88
843,Besan,Staples (Flours & Grains),"TRS, Heera, Annam, Laxmi, KTC","Gram flour, Chickpea flour","Baisan, Basin, Besun",95
844,Sooji (Coarse),Staples (Flours & Grains),"TRS, Heera, Annam, Natco","Semolina, Rava, Rawa","Suji, Sheera",93
845,Sooji (Fine),Staples (Flours & Grains),"TRS, Heera, Annam","Fine semolina, Rava fine","Suji fine, Rawa fine",90
846,Rice Flour,Staples (Flours & Grains),"Annam, TRS, Heera","Chawal ka atta, Rice powder",Arisi maavu,87
847,Bajra Flour,Staples (Flours & Grains),"TRS, Heera, Annam",Pearl millet flour,Bajari,86
848,Jowar Flour,Staples (Flours & Grains),"TRS, Heera, Annam",Sorghum flour,Jovar,88
849,Basmati Rice (Extra Long),Rice,"Tilda, India Gate, Daawat, Kohinoor, Akash, Laila","Long grain rice, Biryani rice, Aged rice","Basmathi, Bismati, Chawal",98
850,Sona Masoori Rice,Rice,"India Gate, 9Grains, Annam, Royal, TRS, Heera","South Indian rice, Short grain, Ponni","Sona Masuri, Masuri rice",97
851,Idli Rice,Rice,"Annam, TRS, Heera, Ponni","Short grain, Steamed rice","Idly rice, Arisi",85
852,Matta Rice,Rice,"Nirapara, Heera, Annam, Double Horse","Red rice, Kerala rice, Palakkadan",Mata rice,87
853,Poha (Thick),Rice,"TRS, Heera, Annam, Natco","Flattened rice, Beaten rice","Powwa, Aval, Atukulu",85
854,Poha (Thin),Rice,"TRS, Heera, Annam",Thin flattened rice,Pauwa thin,93
855,Toor Dal,Lentils & Pulses,"TRS, Heera, Annam, Chitalya, East End","Arhar dal, Split pigeon peas, Yellow lentils","Tur dal, Thoor, Thuvaram",92
856,Moong Dal (Yellow),Lentils & Pulses,"TRS, Heera, Annam, Chitalya","Split mung beans, Yellow mung","Mong dal, Mung",95
857,Chana Dal,Lentils & Pulses,"TRS, Heera, Annam, East End","Bengal gram, Split chickpeas","Channa dal, Kadalai paruppu",93
858,Urad Dal (White Gota),Lentils & Pulses,"TRS, Heera, Annam, Natco","Black gram whole, White urad","Urrad, Urid, Ulutham",92
859,Masoor Dal (Red),Lentils & Pulses,"TRS, Heera, Annam, East End",Red lentils split,"Masur dal, Mussoor",84
860,Kala Chana,Lentils & Pulses,"TRS, Heera, Annam",Black chickpeas whole,"Kala channa, Kadala",78
861,Kabuli Chana,Lentils & Pulses,"TRS, Heera, Annam","Chickpeas, Garbanzo beans","Chole, Channa",70
862,Rajma (Chitra),Lentils & Pulses,"TRS, Heera, Annam",Speckled kidney beans,Rajmah,89
863,Moong Whole,Lentils & Pulses,"TRS, Heera, Annam",Green gram whole,Moong sabut,81
864,Turmeric Powder,Spices & Masalas,"MDH, Everest, TRS, Heera, Catch, Shakti","Haldi, Curcumin","Tumeric, Haldee",79
865,Red Chili Powder,Spices & Masalas,"MDH, Everest, TRS, Shan, Catch","Mirch, Spicy powder, Lal mirch","Chilly, Chilli",78
866,Kashmiri Mirch Powder,Spices & Masalas,"Everest, MDH, TRS, Catch","Mild chili, Red color powder",Kashmiri chilli,70
867,Garam Masala,Spices & Masalas,"MDH, Everest, TRS, Shan, MTR, Badshah","Curry spice mix, Warm spice","Garam masla, Gharam",78
868,Coriander Powder,Spices & Masalas,"MDH, Everest, TRS, Heera, Catch",Dhaniya powder,"Coriender, Dhanya",95
869,Cumin Seeds,Spices & Masalas,"TRS, Heera, Annam, MDH",Jeera whole,"Zeera, Jera",91
870,Mustard Seeds (Black),Spices & Masalas,"TRS, Heera, Annam","Rai, Sarson","Musterd, Rai",75
871,Sambar Masala,Spices & Masalas,"MTR, Aachi, Everest, Eastern, 777",Sambar powder,"Sambhar, Sambar podi",83
872,Biryani Masala,Spices & Masalas,"Shan, MDH, Lucky, Everest, Ahmed",Biryani rice spice,"Biriyani, Briyani",79
873,Kitchen King Masala,Spices & Masalas,"MDH, Everest, Badshah",All purpose spice mix,Kitchen king,85
874,Chana Masala,Spices & Masalas,"MDH, Everest, Shan, Catch",Chole masala,Channa masala,89
875,Pav Bhaji Masala,Spices & Masalas,"Everest, MDH, Badshah",Bhaji spice,Paav bhaji,73
876,Chicken Masala,Spices & Masalas,"MDH, Everest, Shan, Eastern",Poultry spice,Chiken masala,87
877,Meat Masala,Spices & Masalas,"MDH, Everest, Shan, Eastern",Mutton/Meat spice,Meet masala,95
878,Aloo Bhujia,Snacks & Sweets,"Haldiram's, Bikano, Heera, Bikaji","Potato sev, Namkeen","Alu bhujia, Haldirams",66
879,Moong Dal Snack,Snacks & Sweets,"Haldiram's, Bikano, Bikaji",Fried moong lentils,Mung snack,73
880,Khatta Meetha,Snacks & Sweets,"Haldiram's, Bikano, Heera",Sweet and sour mix,Katta metha,56
881,Bhujia Sev,Snacks & Sweets,"Haldiram's, Bikaji, Bikano",Fine spicy sev,Bhujiya,68
882,Parle-G,Snacks & Sweets,Parle,Milk glucose biscuits,"Parleg, Parlay",55
883,Good Day Cashew,Snacks & Sweets,Britannia,Cashew butter cookies,Gud day,65
884,Hide & Seek,Snacks & Sweets,Parle,Chocolate chip cookies,Hide n seek,83
885,Marie Gold,Snacks & Sweets,Britannia,Tea biscuits,Mari gold,61
886,Bourbon Biscuits,Snacks & Sweets,"Britannia, Parle",Choco cream biscuits,Burbon,77
887,Gulab Jamun Mix,Snacks & Sweets,"Gits, MTR, Bambino",Milk solid sweet mix,Gulab jamon,72
888,Soan Papdi,Snacks & Sweets,"Haldiram's, Bikano",Flaky sweet dessert,Son papdi,64
889,Pure Desi Ghee,"Oils, Ghee & Condiments","Amul, Khanum, KTC, Nanak, Kheer","Clarified butter, Pure ghee","Ghi, Ghe",78
890,Mustard Oil,"Oils, Ghee & Condiments","Fortune, KTC, P&B, Engine",Sarson ka tel,Musterd oil,45
891,Coconut Oil (Edible),"Oils, Ghee & Condiments","Parachute, KTC, Heera, KPL Shudhi",Nariyal tel,Cocanut oil,48
892,Mango Pickle,"Oils, Ghee & Condiments","Mother's Recipe, Priya, Ashoka, Patak's",Aam ka achar,"Mango pikkle, Achar",68
893,Mixed Pickle,"Oils, Ghee & Condiments","Mother's Recipe, Priya, Ashoka",Mixed veg pickle,Mix achar,42
894,Ginger Garlic Paste,"Oils, Ghee & Condiments","Mother's Recipe, Priya, TRS, Heera",Adrak lasun paste,GG paste,82
895,Tamarind Paste,"Oils, Ghee & Condiments","TRS, Tamicon, Heera",Imli paste,Tamrind,80
896,Paneer,Ready to Eat & Frozen,"Amul, Nanak, Ayurveda, Vadilal, Ashoka",Cottage cheese,"Panir, Panneer",46
897,Mixed Veg Frozen,Ready to Eat & Frozen,"Vadilal, Ashoka, Daily Delight",Frozen vegetables,Mixed veg,67
898,Aloo Paratha (Frozen),Ready to Eat & Frozen,"Vadilal, Haldiram's, Ashoka, Shana",Stuffed bread,Parata,65
899,Dal Makhani (RTE),Ready to Eat & Frozen,"MTR, Ashoka, Kitchens of India",Heat and eat lentils,Daal makhni,84
900,Idli Batter,Ready to Eat & Frozen,"ID Fresh, Shastha, Annam",Fermented batter,Idly batter,59
901,Chakki Atta,Staples (Flours & Grains),"Aashirvaad, Pillsbury, Fortune, Elephant, Heera, Annapurna","Wheat flour, Roti flour, Whole wheat","Ashirwad, Aata, Atte",96
902,Maida,Staples (Flours & Grains),"TRS, Heera, Annam, KTC","All purpose flour, Plain flour","Mayda, Maida flour",88
903,Besan,Staples (Flours & Grains),"TRS, Heera, Annam, Laxmi, KTC","Gram flour, Chickpea flour","Baisan, Basin, Besun",89
904,Sooji (Coarse),Staples (Flours & Grains),"TRS, Heera, Annam, Natco","Semolina, Rava, Rawa","Suji, Sheera",94
